x,n_p,T_e,T_p,A,mach,v_p,n_e,beta,Z,J_x,J_y,E_x,velikhov_margin,sigma_logA
0.0955,4.4610991212665305e+24,4708.910339384627,4650.643361387095,0.005000025474626934,0.14559226705296452,584.2047587202917,2.143916639595094e+21,79.40515249650984,20.168101656071247,199998.98102011427,-53316.423786611645,-443.65674285471346,45520.61787127794,-3.0473837340068366
0.10505,4.444993863827552e+24,4701.387703931733,4640.45866925213,0.0048630474948790255,0.1504003287240162,602.836449513948,2.1350409540866705e+21,79.75658834495171,16.96230197566116,205632.3737436326,-46311.293772747485,-383.5432658826582,39614.45332460645,-2.9494353011696
0.11460000000000002,4.430363383483168e+24,4695.208295408401,4631.290826570608,0.004733773563889124,0.15517117935892455,621.344346671856,2.1270966797958237e+21,80.0726103804607,14.334570475834791,211247.95820998892,-40455.73995471684,-332.9023405740597,34367.9212134661,-2.859565860879133
0.12415000000000001,4.4169274110920456e+24,4690.131020316477,4622.951532831587,0.004611416243028948,0.15991700948767132,639.7710634465408,2.1199127892433075e+21,80.35964660525279,12.207155890818644,216853.12001745545,-35639.939726834615,-290.9611560269113,29762.94174784276,-2.7783839565974957
0.1337,4.404433522014982e+24,4685.948229966949,4615.270944817685,0.00449522800050708,0.16465257697396699,658.1689599183245,2.1133355179004482e+21,80.62355895313517,10.504454703749152,222458.1266817158,-31743.32013026534,-256.8042648639082,25743.71366292215,-2.70649411244561
0.14325,4.3926592931978706e+24,4682.4844979599475,4608.098956840785,0.004384555233253663,0.16939280264947168,676.5908424552255,2.1072298634428862e+21,80.8695588697904,9.156906210037913,228073.30431504824,-28645.131657899256,-229.47590692795546,22240.127760675292,-2.643089395306503
0.15280000000000002,4.381410004010364e+24,4679.5940801127535,4601.30372565937,0.004278806811363891,0.1741533737428043,695.092505916075,2.1014785468081926e+21,81.10222718800598,8.103225838358183,233710.01404974514,-26232.51065163506,-208.0598992289563,19180.313726199493,-2.587902111580846
0.16235000000000002,4.370514037515042e+24,4677.157563685146,4594.768743536384,0.004177412134308593,0.17895228345539418,713.7388501124758,2.095979583046053e+21,81.32559473075915,7.291304732394133,239382.65314717646,-24405.5334788908,-191.73195062553398,16496.95697295785,-2.541583959005054
0.1719,4.3598189062282255e+24,4675.077790202322,4588.390275150782,0.004079823584330451,0.18380990348165485,732.6041014481976,2.09064387316591e+21,81.54322742849737,6.677838799048407,245108.6375010777,-23078.61322557839,-179.7783752929284,14130.689685522819,-2.504690735167353
0.18145000000000003,4.349187174334488e+24,4673.276055808642,4582.074702299474,0.003985519690442625,0.18874905087722055,751.7719589076198,2.0853927167349212e+21,81.7583185361819,6.227540253719805,250908.30749074576,-22180.61629508115,-171.6021171744711,12030.949325032185,-2.4776576340504035
0.191,4.3384924411821576e+24,4671.688741444315,4575.73588160744,0.003894008078477749,0.1937950809866881,771.3357968010811,2.080155381344983e+21,81.97378207051193,5.9121908664961635,256804.80878481417,-21654.28761390807,-166.72153854917926,10155.555713012935,-2.4607981164638777
