A,Delta,G,T_e,T_p,Z,beta,k,logA,mach,n_p,seed_index,sigma_logA,x
0.9208920215816067,0.016216724285559092,8036.358535178446,3772.4228419669876,3712.222749157323,9.583085202505917,39.48739724730249,19,0.7227841943576934,0.16614700781592456,3.4076971661808215e+25,-1,-0.5,-1.9000000000000001
0.9681071651720289,0.014472477957187646,10153.011096216644,3769.807748264979,3716.0276204398624,8.66153429978544,39.4455905701583,20,0.7727841943576934,0.15774104723258278,3.412491834595626e+25,-1,-0.5,-2.0
1.0177430809398835,0.01294782207589562,12720.151366178834,3767.5817551559294,3719.423323735269,7.866437260726828,39.407503162515766,21,0.8227841943576935,0.14979035669293453,3.416798936119903e+25,-1,-0.5,-2.1
1.069923884528784,0.01160605251547886,15836.901674128056,3765.6638502142505,3722.460774973102,7.17380806337532,39.37291010024162,22,0.8727841943576935,0.1422655997409926,3.420671702918452e+25,-1,-0.5,-2.2
1.1247800551274694,0.01041916009538868,19623.944009323877,3763.9958075176683,3725.1825343081655,6.565944481491139,39.34155086517647,23,0.9227841943576935,0.13514009276201971,3.424156795888273e+25,-1,-0.5,-2.3000000000000003
1.1824487617357395,0.009365090991410918,24228.34696070363,3762.53435225126,3727.6248067541665,6.029364233203748,39.31315716720274,24,0.9727841943576936,0.12838943538030378,3.4272952996122984e+25,-1,-0.5,-2.4000000000000004
1.243074206158403,0.008426046886445882,29829.435459787514,3761.24640386164,3729.8187759773086,5.553526547806442,39.28746733199808,25,1.0227841943576936,0.12199121652574885,3.430123517976995e+25,-1,-0.5,-2.5
1.3068079835849,0.00758737869831605,36645.94389921369,3760.106061127734,3731.7915454492363,5.1300064277021225,39.26423354522669,26,1.0727841943576937,0.11592477497218098,3.432673623748833e+25,-1,-0.5,-2.6
1.373809461656239,0.006836837087321523,44944.74210288254,3759.0926215692734,3733.566833374862,4.751942376430999,39.24322518334616,27,1.1227841943576937,0.11017100079047966,3.4349741974718555e+25,-1,-0.5,-2.7
1.44424617896711,0.006164046945795754,55051.485427404885,3758.1892402320154,3735.165504710662,4.413655922732129,39.22422996636454,28,1.1727841943576938,0.10471216849042064,3.4370506801954683e+25,-1,-0.5,-2.8000000000000003
1.518294263999637,0.005560127838112328,67363.61678401283,3757.3819973289924,3736.605990342034,4.110382692404103,39.20705389722345,29,1.2227841943576938,0.09953179526699747,3.438925757731433e+25,-1,-0.5,-2.9000000000000004
1.5961388755363273,0.005017412667958521,82366.24235817252,3756.65923507829,3737.904625060889,3.8380780086522917,39.19152054058018,30,1.2727841943576939,0.09461451948784316,3.440619689353158e+25,-1,-0.5,-3.0
